date, Urban Population, % of Total, Annual % Change
1960-12-31,570661,7.362,
1961-12-31,608791,7.565,6.468
1962-12-31,650185,7.774,6.5782
1963-12-31,699081,8.038,7.251
1964-12-31,752562,8.318,7.3717
1965-12-31,810351,8.605,7.3984
1966-12-31,872628,8.902,7.4042
1967-12-31,939416,9.209,7.3749
1968-12-31,1010972,9.525,7.3409
1969-12-31,1087396,9.85,7.2874
1970-12-31,1181154,10.295,8.2706
1971-12-31,1282416,10.778,8.2254
1972-12-31,1390270,11.282,8.0752
1973-12-31,1506366,11.805,8.0202
1974-12-31,1630556,12.349,7.9221
1975-12-31,1763007,12.914,7.81
1976-12-31,1904229,13.503,7.7056
1977-12-31,2057155,14.112,7.7247
1978-12-31,2224641,14.745,7.8272
1979-12-31,2405731,15.401,7.8258
1980-12-31,2522440,15.583,4.7373
1981-12-31,2632207,15.681,4.2596
1982-12-31,2747533,15.78,4.2881
1983-12-31,2869250,15.879,4.3347
1984-12-31,2996570,15.979,4.3418
1985-12-31,3127713,16.079,4.2834
1986-12-31,3262030,16.18,4.2048
1987-12-31,3399814,16.281,4.1371
1988-12-31,3543008,16.383,4.1255
1989-12-31,3690629,16.485,4.0821
1990-12-31,3879217,16.748,4.9836
1991-12-31,4076385,17.043,4.9577
1992-12-31,4275795,17.342,4.7759
1993-12-31,4480388,17.645,4.674
1994-12-31,4691530,17.952,4.6049
1995-12-31,4908793,18.263,4.5269
1996-12-31,5130728,18.579,4.4219
1997-12-31,5360279,18.898,4.3768
1998-12-31,5600786,19.222,4.3891
1999-12-31,5858183,19.55,4.4933
2000-12-31,6137001,19.892,4.6497
2001-12-31,6436071,20.239,4.7582
2002-12-31,6749693,20.591,4.7579
2003-12-31,7073537,20.948,4.6864
2004-12-31,7414140,21.31,4.7028
2005-12-31,7768972,21.675,4.6749
2006-12-31,8140172,22.045,4.6673
2007-12-31,8527849,22.42,4.6526
2008-12-31,8934612,22.8,4.6596
2009-12-31,9357689,23.183,4.6266
2010-12-31,9786183,23.571,4.4773
2011-12-31,10219218,23.969,4.3299
2012-12-31,10658602,24.376,4.2097
2013-12-31,11105820,24.794,4.1102
2014-12-31,11559254,25.221,4.0017
2015-12-31,12021155,25.658,3.9182
2016-12-31,12502904,26.105,3.9293
2017-12-31,13001604,26.562,3.9112
2018-12-31,13502378,27.03,3.7793
2019-12-31,14015215,27.507,3.7278
2020-12-31,14553419,27.995,3.7682
2021-12-31,15102890,28.493,3.706
2022-12-31,15669052,29.002,3.6801
